	SNP	Chromosome	Position	trait1	symbol
1	ENSG00000196616	4	100226120	3.19677688226246e-32	ADH1B
2	ENSG00000187758	4	100197523	5.81261382912398e-16	ADH1A
3	ENSG00000248144	4	100257648	4.60492128617669e-15	ADH1C
4	ENSG00000163114	4	96761238	9.59092526617057e-13	PDHA2
5	ENSG00000111640	12	6643092	3.15766796542886e-11	GAPDH
6	ENSG00000124253	20	56136135	1.85417190541111e-10	PCK1
7	ENSG00000111275	12	112204690	1.68064766918371e-09	ALDH2
8	ENSG00000166800	11	18477370	2.92483103198962e-09	LDHAL6A
9	ENSG00000102144	23	77320684	1.03033991049652e-06	PGK1
10	ENSG00000159322	15	73043709	1.28401458192678e-06	ADPGK
11	ENSG00000067225	15	72491369	2.7125961181242e-06	PKM
12	ENSG00000111669	12	6976282	4.92166506454313e-06	TPI1
13	ENSG00000106633	7	44183871	8.75317929661031e-06	GCK
14	ENSG00000198099	4	100044807	1.10955777796737e-05	ADH4
15	ENSG00000143149	1	165631452	1.83908974946492e-05	ALDH9A1
16	ENSG00000170950	6	49753365	3.02442789895412e-05	PGK2
17	ENSG00000149925	16	30064410	4.21672717347927e-05	ALDOA
18	ENSG00000105220	19	34855644	8.50454415189091e-05	GPI
19	ENSG00000152254	2	169757749	0.000181875376221181	G6PC2
20	ENSG00000131069	20	33459948	0.000189071842805	ACSS2
21	ENSG00000136872	9	104182859	0.000247381537923751	ALDOB
22	ENSG00000074800	1	8921060	0.000321167480004803	ENO1
23	ENSG00000168291	3	58413356	0.00034059382721657	PDHB
24	ENSG00000164904	5	125877532	0.000415431553983329	ALDH7A1
25	ENSG00000072210	17	19551448	0.000581703788578922	ALDH3A2
26	ENSG00000079739	1	64058946	0.000793704684430861	PGM1
27	ENSG00000188316	10	118609022	0.000805970406246264	ENO4
28	ENSG00000131482	17	41052813	0.00105891055572267	G6PC
29	ENSG00000197894	4	99992131	0.00106971972910644	ADH5
30	ENSG00000159399	2	75061107	0.00155685164292132	HK2
31	ENSG00000172331	7	134331559	0.00225632707820888	BPGM
32	ENSG00000141349	17	42148102	0.00246850109307453	G6PC3
33	ENSG00000172955	4	100123794	0.00256726257706461	ADH6
34	ENSG00000226784	23	77223457	0.00288224985075945	PGAM4
35	ENSG00000134333	11	18415934	0.00357456743118051	LDHA
36	ENSG00000091140	7	107531414	0.0101174884840832	DLD
37	ENSG00000165140	9	97365414	0.0131703339626764	FBP1
38	ENSG00000137124	9	38392660	0.0136568806679246	ALDH1B1
39	ENSG00000067057	10	3109711	0.0161138360454995	PFKP
40	ENSG00000156510	10	70980058	0.0269102704315937	HKDC1
41	ENSG00000111674	12	7022908	0.0322244713449227	ENO2
42	ENSG00000171989	15	59499041	0.034652359626466	LDHAL6B
43	ENSG00000130957	9	97321001	0.0386186386896835	FBP2
44	ENSG00000143891	2	38893051	0.0390615643463275	GALM
45	ENSG00000164708	7	44102325	0.0490732451854541	PGAM2
46	ENSG00000166796	11	18433853	0.0499807338933904	LDHC
47	ENSG00000111716	12	21796983	0.10086234191065	LDHB
48	ENSG00000105679	19	36024313	0.116388231284208	GAPDHS
49	ENSG00000109107	17	26900132	0.171087125048217	ALDOC
50	ENSG00000132746	11	67429632	0.182243316170191	ALDH3B2
51	ENSG00000152556	12	48498921	0.222419566943644	PFKM
52	ENSG00000184254	15	101419580	0.244010795408095	ALDH1A3
53	ENSG00000160883	5	176307869	0.321602285743475	HK3
54	ENSG00000154930	20	24986867	0.338408331724231	ACSS1
55	ENSG00000150768	11	111895537	0.36093288864005	DLAT
56	ENSG00000100889	14	24563261	0.400521617383032	PCK2
57	ENSG00000108602	17	19641296	0.415405537733009	ALDH3A1
58	ENSG00000006534	11	67776047	0.448873083928106	ALDH3B1
59	ENSG00000131828	23	19362010	0.467306046456189	PDHA1
60	ENSG00000141959	21	45719933	0.493161072996035	PFKL
61	ENSG00000196344	4	100333417	0.530578344843869	ADH7
62	ENSG00000143627	1	155259629	0.567928259236429	PKLR
63	ENSG00000169299	4	37828254	0.704040080197141	PGM2
64	ENSG00000117448	1	46016214	0.801290480260307	AKR1A1
65	ENSG00000156515	10	71029739	0.861614497485557	HK1
66	ENSG00000171314	10	99185916	0.907740184293976	PGAM1
67	ENSG00000108515	17	4851386	0.939628825654063	ENO3
68	ENSG00000107789	10	89264631	0.961586431479288	MINPP1
